words	frequency	left-entropy	right-entropy	combinality
席 	 1008 	 1.823166 	 5.930288 	 0 	 
干部 	 1007 	 5.194520 	 6.089294 	 0 	 
益 	 1005 	 2.886647 	 5.386724 	 0 	 
再 	 1002 	 5.987031 	 6.232355 	 0 	 
线 	 994 	 6.057481 	 5.546172 	 0 	 
每 	 994 	 4.847718 	 4.623195 	 0 	 
该 	 988 	 3.874280 	 6.842816 	 0 	 
文化 	 985 	 5.950654 	 6.193669 	 0 	 
率 	 983 	 5.431489 	 5.689994 	 0 	 
光 	 982 	 6.881144 	 6.362200 	 0 	 
助 	 981 	 3.969327 	 6.485287 	 0 	 
谈 	 980 	 5.090670 	 4.478089 	 0 	 
必 	 976 	 5.638040 	 2.810482 	 0 	 
研究 	 973 	 6.554735 	 5.770183 	 0 	 
严 	 971 	 6.324146 	 3.742354 	 0 	 
职工 	 971 	 5.317438 	 6.509015 	 0 	 
方面 	 969 	 5.523638 	 5.152901 	 0 	 
望 	 962 	 3.364496 	 6.474561 	 0 	 
乐 	 958 	 5.128873 	 5.871582 	 0 	 
根 	 956 	 5.494915 	 3.262809 	 0 	 
策 	 956 	 1.787829 	 4.573164 	 0 	 
才 	 955 	 4.973412 	 5.289806 	 0 	 
快 	 952 	 4.977070 	 5.961689 	 0 	 
列 	 952 	 4.663931 	 6.306780 	 0 	 
赛 	 950 	 4.469165 	 5.670939 	 0 	 
组织 	 947 	 6.532410 	 6.348500 	 0 	 
没有 	 946 	 5.932392 	 7.901780 	 0 	 
供 	 945 	 3.862138 	 5.654475 	 0 	 
提高 	 944 	 5.078946 	 5.906908 	 0 	 
清 	 942 	 6.609017 	 6.267243 	 0 	 
非 	 942 	 5.941814 	 5.711037 	 0 	 
批 	 941 	 5.184908 	 5.959765 	 0 	 
完 	 939 	 6.641329 	 2.937611 	 0 	 
转 	 938 	 6.944523 	 5.111790 	 0 	 
色 	 937 	 4.705515 	 4.928791 	 0 	 
或 	 936 	 7.025765 	 7.035934 	 0 	 
许 	 936 	 4.952495 	 3.856760 	 0 	 
带 	 934 	 7.053846 	 4.813503 	 0 	 
自己 	 933 	 6.644398 	 4.757626 	 0 	 
罗 	 929 	 4.563111 	 4.915214 	 0 	 
金融 	 926 	 5.639820 	 5.037793 	 0 	 
责 	 921 	 4.238122 	 4.077987 	 0 	 
确 	 920 	 4.589033 	 4.826684 	 0 	 
河 	 918 	 5.915800 	 4.843150 	 0 	 
州 	 918 	 5.113688 	 5.827071 	 0 	 
去年 	 917 	 3.367516 	 5.076373 	 0 	 
产品 	 916 	 5.898935 	 5.826137 	 0 	 
精神 	 916 	 5.130832 	 3.905527 	 0 	 
知 	 913 	 6.073278 	 4.610721 	 0 	 
一些 	 910 	 5.352323 	 7.465231 	 0 	 
权 	 907 	 5.767070 	 5.332144 	 0 	 
会议 	 904 	 4.898338 	 5.203074 	 0 	 
型 	 904 	 4.431701 	 6.582629 	 0 	 
打 	 900 	 7.170887 	 5.865647 	 0 	 
具 	 892 	 6.406625 	 3.032342 	 0 	 
伊 	 887 	 5.606613 	 3.565708 	 0 	 
港 	 884 	 3.127188 	 6.099876 	 0 	 
